Country Name,Year,Exports_GDP_percent,GDP growth (annual %),GDP_per_capita,Imports_GDP_percent,"Inflation, consumer prices (annual %)",Population_growth_percent,"Unemployment, total (% of total labor force) (national estimate)"
Samoa,2023,28.75379959,9.20864924,9414.102813,61.90368097,7.921646848,0.649190563,
Samoa,2024,29.31550877,9.422350442,10237.06322,53.81615409,2.172455305,0.623906395,
Singapore,2015,178.3846085,2.976799316,76502.97145,151.0867904,-0.521975612,1.186376937,3.79
Singapore,2016,164.5506642,3.747578488,78346.85711,138.2889918,-0.52980976,1.297436099,4.08
Singapore,2017,171.7416255,4.476899158,81781.87975,145.0527838,0.576763191,0.08859547,4.2
Singapore,2018,178.1982514,3.451975966,84208.50923,148.3983359,0.438784215,0.469704299,
Singapore,2019,176.8913,1.308041182,84339.36716,147.5036851,0.567829988,1.144283307,3.1
Singapore,2020,181.7820245,-3.814708855,81375.48461,150.258781,-0.172111866,-0.311904961,4.1
Singapore,2021,182.7108066,9.756804463,93118.631,146.4505771,2.316103158,-4.1703363,4.64
Singapore,2022,186.1142908,4.108000219,93788.91904,146.235277,6.130954189,3.308620524,3.591
Singapore,2023,181.5613224,1.821406941,90968.5402,144.1319016,4.833723628,4.858316078,3.444
Singapore,2024,178.7762868,4.388023625,93085.04752,143.5951411,2.389511236,1.994493656,
Solomon Islands,2015,40.36052049,1.676146156,14761.61804,47.827893,-0.574469286,3.583379165,
